LUNATICクリアできるの？,自分でクリア出来ないとバグチェックも出来ないよね。
明日やろう,無為に日を過ごしてはいけない。あっという間に気力と体力を奪われ、そこに残るのは鉛の夢。三途の川も渡れぬ重金属の霊魂。
死ぬまで働け！,適度な休憩は集中力を高める。
どんな事を妄想して作曲しているのか,理論的に作曲出来るほど知識がある訳ではないから、キャラや舞台や弾幕を妄想して曲を合わせている。 
ルールを作る側になろう,ルールのない世界では弾幕はナンセンスである
心霊写真って怖いよね,心霊写真の一割が本物の霊
N〇Kがまた偏向報道したらしいよ,撮られた写真が何につかわれるのかは、文しか知らない。
ゲームに込めた意味を、違った方向に考察されるのはどうか？ ,正しいとか間違いとかは重要じゃない― 楽しんでくれてる事が大事。
二次創作を批判する人っているよね, 人は影響の固まり。僕も何かの影響を受けてきたから、今がある。そういう意味では、僕も二次創作をやっていると言える。だから皆にも自由にやってほしい。是非自分でも創作してみてほしい。
人間がいつか死ぬことぐらいしかわからない,死は誰にでも平等に訪れるだなんて誰が言ったのだろう？少なくとも人間は生き方次第で別の生き物になる気がする。
人間関係って難しいよね,不平等は平等に訪れる。
また偏向報道があったらしい,新聞が捏造だらけなんて事は無いので余り過激な思想にならないように。 
同人ゲームをつくりたいんだ。,今と昔の同人ゲームは全く違う。同人を遊ぶような人は、例外無く同人を創っている人だった。今の「同人」という言葉には「創る」意味が含まれていない事にギャップを感じる。だから「同人ゲームを創りたい」というような質問をされると困ってしまう。
科学する人は嫌いですか？,僕、理系なんですよ。大学で数学やってたんだけど、大学の時って、数学ってホント役に立たないってイメージがある けどさ、役に立たないからいいんだよ。
影響を受けた音楽は？ ,インストゥルメンタルとか。中学の時は、姫神とか宗次郎とかよく聴いてた。今の曲は、あまりピンと来ない。 
存在しないものを考えても仕方ない,だってそうでしょう？そうでないと、音楽では人に影響を与えない事になってしまう。音楽におけるヴァーチャルとは、存在するであろう音楽を再現する事だから……。音楽活動する以上、リアルとヴァーチャルを区別するなんて言わないで。区別できない事を意識した上で行動したい。
最近の子供って、読解力が下がってるらしいよ,子供達の心がどんどん狭くなる一方のこの国でも、もしかしたら街に子供達の笑顔が溢れる日も来るのかもしれないですね。合成で。
日本の将来はどうなるのかな？,将来どうとか考えないでまずやればいいんじゃないの
